Name,Type,Distance_km,Points,Elevation_Gain_m,Elevation_Loss_m,Coordinates
"1 EX_OHT_Adaranagi","overhead_tank",0,1,0,0,""77.19091166280374,13.12149763218632""
"2 PRO_OHT_Chikkadarangi","overhead_tank",0,1,0,0,""77.19527243050038,13.12210153615266""
"4 PRO_OHT_Lakkaiahnapalya","overhead_tank",0,1,0,0,""77.20713742583528,13.12301215360707""
"5 PRO_OHT_ Rangaiahnapalya","overhead_tank",0,1,0,0,""77.18839760759269,13.12053993099064""
"6 EX_GLSR (old)_Ajjahalli","ground_reservoir",0,1,0,0,""77.19553036383056,13.11376755359677""
"7 PRO_ OHT_Saifulla Sabarapalya","overhead_tank",0,1,0,0,""77.18224968326106,13.11223575642174""
"8 PRO_ OHT_Thimmegowdanapalya","overhead_tank",0,1,0,0,""77.20936671304487,13.10214566295386""
"9 PRO_OHT_Hanchibasavapalya","overhead_tank",0,1,0,0,""77.17249602801758,13.12806929591932""
"10 EX_OHT_Gollarahatti_01","overhead_tank",0,1,0,0,""77.18521796917956,13.12982199508904""
"10 UC_OHT_Gollarahatti_02","overhead_tank",0,1,0,0,""77.18543651271155,13.12980807976458""
"11 PRO_OHT_kagimadu","overhead_tank",0,1,0,0,""77.18340526722537,13.12205045918346""
"12 PRO_OHT_Thorenarasimharajapura","overhead_tank",0,1,0,0,""77.17164714404021,13.12380207320066""
"13 PRO_ OHT_Thoreramanahalli","overhead_tank",0,1,0,0,""77.16950204754814,13.11707099195575""
"13 UC_ OHT_Thoreramanahalli","overhead_tank",0,1,0,0,""77.16965340415851,13.11724915196754""
"14 PRO_ OHT_ Adakamaranahalli","overhead_tank",0,1,0,0,""77.30924352184101,12.945507454783""
"15 EX_OHT_Bachenahatti","overhead_tank",0,1,0,0,""77.30372126162636,12.95258553610799""
"17 PRO_OHT_Doddipalya","overhead_tank",0,1,0,0,""77.30833318404606,12.9711590723474""
"18 PRO_OHT_Dudupanapalya","overhead_tank",0,1,0,0,""77.29642627619491,12.96410676377294""
"19 EX_OHT_Sevanagara","overhead_tank",0,1,0,0,""77.31365915946029,12.97259454694514""
"21 PRO_OHT_Chikkathorepalya","overhead_tank",0,1,0,0,""77.28574444517683,12.95741563653266""
"22 EX_OHT_Doddamaskal","overhead_tank",0,1,0,0,""77.32787976529204,12.92155078521254""
"23 PRO_OHT_Gollarapalya","overhead_tank",0,1,0,0,""77.278279630376,12.97744217225824""
"25 EX_GLSR_Harijana Hanumanthaiahna Colony","ground_reservoir",0,1,0,0,""77.31823289336018,12.92910282688825""
"26 EX_OHT_Kallur","overhead_tank",0,1,0,0,""77.31673398717108,12.94568435086903""
"27 PRO_OHT_Kenchahunisepalya","overhead_tank",0,1,0,0,""77.31481606868954,12.93387286625232""
"29 PRO_OHT_Jyothipalya","overhead_tank",0,1,0,0,""77.26148039920103,12.94553322513127""
"30 PRO_OHT_Maralagondala","overhead_tank",0,1,0,0,""77.27264895237221,12.94181611589465""
"32 PRO_OHT_Villagelimit","overhead_tank",0,1,0,0,""77.28475907753668,12.95728047252948""
"33 PRO_OHT_Harijanacolony","overhead_tank",0,1,0,0,""77.32645358716805,12.95743742706279""
"34 PRO_OHT_Kavalpalya","overhead_tank",0,1,0,0,""77.32192835631676,12.97429440769749""
"36 EX_OHT_Shanubhoganahalli","overhead_tank",0,1,0,0,""77.32472752497385,12.95761268580256""
"37 PRO_ OHT_Singadasanahalli","overhead_tank",0,1,0,0,""77.32921596899315,12.95011150322074""
"38 PRO_ OHT_Thagachaguppe","overhead_tank",0,1,0,0,""77.28803125274939,12.96064859118415""
"39 PRO_ OHT_Varadenahalli","overhead_tank",0,1,0,0,""77.31194946985204,12.954624944857""
"41 PRO_OHT_BYRAPPANAPALYA","overhead_tank",0,1,0,0,""77.32421319056398,12.91716815246246""
"42 PRO_OHT_Rangegowdanapalya","overhead_tank",0,1,0,0,""77.3175348176206,12.91564355886463""
"43 PRO_OHT_VEERAPURA","overhead_tank",0,1,0,0,""77.31827947090211,12.91488794128388""
"44 PRO_OHT_YAKKADAREPALYA","overhead_tank",0,1,0,0,""77.31959696256371,12.92443214599653""
"45 PRO_OHT_VENGALAPPANAHALLI","overhead_tank",0,1,0,0,""77.26647178206557,12.94695423376178""
"47 PRO_OHT_Janatha colony","overhead_tank",0,1,0,0,""77.25250428052716,13.13370663324679""
"48 PRO_OHT_Keepalya","overhead_tank",0,1,0,0,""77.24359972694246,13.14619169292674""
"49 EX_OHT_ Banavadi_01","overhead_tank",0,1,0,0,""77.25382102917067,13.11980978693012""
"49 PRO_OHT_Banavadi_02","overhead_tank",0,1,0,0,""77.25364850532824,13.11965417649929""
"51 PRO_OHT_Madugiripalya","overhead_tank",0,1,0,0,""77.25104993829046,13.11530753042403""
"53 PRO_OHT_Byrasandra","overhead_tank",0,1,0,0,""77.23187423111789,13.13728421329433""
"54 PRO_OHT_Kalluhattipalya","overhead_tank",0,1,0,0,""77.23683402114384,13.12192439971707""
"56 PRO_OHT_Mallapura","overhead_tank",0,1,0,0,""77.26927313330711,13.14949004977129""
"59 PRO_OHT_Mylanahalli","overhead_tank",0,1,0,0,""77.23788435612737,13.14626835927749""
